,title,description,date,type
728,"Почти 2,5 тыс. нелегалов и финансовых пирамид выявлено в первом полугодии 2023 года","Банк России раскрыл более 1,1 тыс. финансовых пирамид, около 850 нелегальных кредиторов и более 400 нелегальных профучастников.",17 июля 2023,Новость
729,В национальной системе индикаторов уже 100 показателей,"Межведомственная рабочая группа одобрила шесть методик расчета товарных индикаторов, которые предусматривают формирование около 100 позиций. Все они теперь представлены на сайте Банка России.",14 июля 2023,Новость
730,"Годовая инфляция в июне продолжила расти, месячный прирост цен ускорился","В июне годовая инфляция повысилась до 3,25%. Месячные темпы роста цен с поправкой на сезонность ускорились в основном из-за разовых факторов.",14 июля 2023,Новость
731,Форум «Кибербезопасность в финансах» пройдет с 12 по 16 февраля 2024 года в Екатеринбурге,"На Уральском форуме, организатором которого является Банк России, будут обсуждаться тенденции и векторы развития в сфере информационной безопасности, вопросы импортозамещения и операционной надежности финансовых организаций, условия безопасного внедрения цифровых и платежных технологий и другие актуальные темы.",14 июля 2023,Новость
732,Брокеры пересчитают свой норматив достаточности капитала,"Профучастникам разрешат при расчете норматива достаточности капитала применять понижающий коэффициент риска для облигаций, направленных на финансирование проектов технологического суверенитета или структурной адаптации нашей экономики. Такой проект указания подготовил Банк России для общественного обсуждения.",14 июля 2023,Новость
733,О чем говорят тренды: повышенный рост спроса приводит к более устойчивому росту цен,"Оперативные и опросные показатели говорят о сохраняющемся повышенном росте российской экономики в конце II квартала, связанном с расширением потребительской и инвестиционной активности. Это происходит на фоне увеличения кредитования и постепенного отхода потребителей от сберегательной модели поведения, а также сохраняющейся поддержки со стороны государственного спроса.",12 июля 2023,Новость
734,"Тесты перед сделками со сложными инструментами успешно прошли 2,4 млн инвесторов","Всего за полтора года тестирования в нем поучаствовали 7,5 млн человек. Большинство (6,13 млн) проходили тесты вскоре после введения этой процедуры, затем число желающих сокращалось (1,36 млн человек в октябре 2022 — марте 2023 года).",12 июля 2023,Новость
735,Доклад «Региональная экономика»: продолжается увеличение деловой активности и потребительского спроса,"В мае — июне 2023 года в регионах России продолжился рост экономической активности, чему способствовали расширение кредитования и увеличение государственных расходов.",12 июля 2023,Новость
736,Разработаны правила платформы цифрового рубля,"Проект положения Банка России является ключевым нормативным актом для запуска цифрового рубля. В нем содержатся основные правила, по которым Банк России как оператор платформы будет взаимодействовать с ее участниками и пользователями, и требования к ним.",12 июля 2023,Новость
737,Банк России предлагает оценить качество электронной регистрации выпусков ценных бумаг,"Банк России предлагает эмитентам принять участие в опросе. Респондентам предстоит поделиться своим мнением, насколько удобна и понятна процедура электронной регистрации эмиссионных документов, какие сложности возникают при онлайн-взаимодействии с регулятором. Также они смогут высказать пожелания по улучшению сервиса.",12 июля 2023,Новость
738,Как присваивать ESG-рейтинги: рекомендации Банка России,"Банк России разработал рекомендации для повышения качества методологии и развития практики присвоения ESG-рейтингов. Этот документ мягкого регулирования позволит заложить основу для того, чтобы сделать ESG-рейтинги более объективными, прозрачными и сопоставимыми между собой.",12 июля 2023,Новость
739,В мае – июне индикаторы денежно-кредитных условий изменялись разнонаправленно,"О движении денежно-кредитных условий (ДКУ) в сторону смягчения свидетельствовали высокие темпы роста кредитования как в корпоративном, так и в розничном сегментах рынка. В то же время существенный рост ставок денежного и облигационного рынков компенсировал смягчение ДКУ. Это было связано с ужесточением сигнала Банка России и изменением ожиданий рынка в отношении траектории ключевой ставки. ",11 июля 2023,Новость
740,Банки будут возвращать клиентам переведенные мошенникам деньги,"Возместить клиенту деньги придется в том случае, если банк допустил перевод средств на мошеннический счет, который находится в специальной базе Банка России. Сделать это он должен в течение 30 календарных дней после получения заявления от пострадавшего. Такой закон приняла Государственная Дума.",11 июля 2023,Новость
741,Принят закон о цифровом рубле,"Государственная Дума приняла базовый закон, закрепляющий правовые нормы введения в России цифрового рубля — третьей формы национальной валюты. Банк России планирует выпускать цифровой рубль в дополнение к уже существующим наличным и безналичным средствам.",11 июля 2023,Новость
742,Рыбинск глазами медальеров,"Рыбинск — старинный город на Волге. Красота его природы и архитектурных памятников привлекает тысячи туристов. Первое упоминание о расположенном на берегу Волги поселении Усть-Шексна, которое стало предшественником города, появилось в летописях в 1071 году.",11 июля 2023,Пресс-релиз
743,Человек труда: новая монета Банка России,Банк России 11 июля 2023 года выпускает в обращение памятную монету из недрагоценных металлов номиналом 10 рублей «Работник строительной сферы» серии «Человек труда» (каталожный номер 5714-0091).,11 июля 2023,Пресс-релиз
744,Основными покупателями акций российских компаний остаются розничные инвесторы,"Фондовый рынок в июне демонстрировал преимущественно положительную динамику, индекс МосБиржи по итогам месяца вырос на 2,9%. При этом интерес к рынку проявляли все категории розничных инвесторов независимо от размера их портфеля.",10 июля 2023,Новость
745,Мониторинг отраслевых финансовых потоков: рост поступлений в июне продолжился,"Динамика финансовых потоков показывает, что в июне 2023 года продолжился рост экономической активности.",06 июля 2023,Новость
746,Банк России совершенствует регулирование валютного и рыночного рисков,Проекты нормативных актов о лимитах открытых валютных позиций (ОВП) и расчете величины рыночного риска доработаны с учетом предложений и комментариев банковского сообщества.,05 июля 2023,Новость
747,Профучастники смогут поддержать проекты технологического суверенитета,"Банк России дает возможность профучастникам размещать собственные средства в облигации, направленные на финансирование проектов технологического суверенитета или структурной адаптации нашей экономики. Такие инструменты могут составлять не более 5% от общего размера их капитала. Изменения в порядок расчета этого показателя опубликованы для общественного обсуждения.",04 июля 2023,Новость
748,Екатеринбургу – 300 лет,Банк России 4 июля 2023 года выпускает в обращение памятную серебряную монету номиналом 3 рубля «300-летие основания г. Екатеринбурга» серии «Города» (каталожный номер 5111-0485).,04 июля 2023,Пресс-релиз
749,Антикризисные меры Банка России способствовали росту кредитования,"Банк России оценил эффективность регуляторных послаблений, принятых в ходе кризисов 2014–2015, 2020 и 2022 годов, с точки зрения сохранения финансовой устойчивости банков и поддержки кредитования. По предварительным оценкам, эти меры способствовали увеличению кредитного портфеля банковского сектора на 0,8; 1,3 и 5,5% соответственно.",04 июля 2023,Новость
750,Недобросовестные практики в онлайн-кредитовании: опрос заемщиков,"Банк России приглашает граждан, которые в этом или прошлом году оформляли кредит или заем онлайн, пройти короткий опрос. Ответы помогут оценить масштаб недобросовестных практик и нарушений прав заемщиков, связанных со спецификой использования мобильного приложения или интернет-банка.",03 июля 2023,Новость
751,Банк России начинает публиковать статистику по новым видам облигаций,Банк России расширяет публикацию статистики и начинает размещать информацию об облигациях сектора устойчивого развития.,30 июня 2023,Новость
752,На рынке появился российский индекс аффинированного золота,"Методика расчета биржевого индекса аффинированного золота одобрена межведомственной рабочей группой. Индекс рассчитывает Московская Биржа в рублях на основании сделок, заключенных на биржевых торгах.",30 июня 2023,Новость
753,Сектор микрофинансирования адаптируется к снижению потолка ставок: обзор за I квартал,"Доля займов, выдаваемых микрофинансовыми организациями (МФО) клиентам с показателем долговой нагрузки свыше 80%, сократилась в I квартале 2023 года до 30% (кварталом ранее — 40%). Этому способствовало введение Банком России макропруденциальных лимитов, которые ограничивают рост высокорискованных кредитов.",28 июня 2023,Новость
754,"Информация о работе платежной системы Банка России 2, 9 и 16 июля 2023 года","Платежная система Банка России 2, 9 и 16 июля 2023 года будет функционировать в соответствии с графиком.",28 июня 2023,Пресс-релиз
755,Наличные или безналичные: предпочтения россиян в 2022 году,"Безналичные платежи предпочитает все больше жителей страны, показал социологический опрос Банка России. С помощью банковской карты расплачиваются 79% респондентов, мобильным банком пользуются 38%, Систему быстрых платежей выбирают 18%.",28 июня 2023,Новость
756,С 2024 года в России заработает Программа долгосрочных сбережений,"Со следующего года у жителей страны появится новый сберегательный инструмент — Программа долгосрочных сбережений (ПДС). Она позволит гражданам в простой и удобной форме копить, чтобы получать дополнительный доход в будущем, или создать подушку безопасности на случай особых жизненных ситуаций. Госдума приняла законопроект о ПДС во втором чтении.",27 июня 2023,Новость
757,"Банк России, Минпросвещения России и Минфин России подписали соглашение о сотрудничестве в сфере финансовой грамотности и образования","Соглашение подписали Председатель Банка России Эльвира Набиуллина, Министр просвещения РФ Сергей Кравцов и Министр финансов РФ Антон Силуанов.",27 июня 2023,Новость
758,Банк России возобновил публикацию отчетности банков на своем сайте,"Регулятор вернулся к раскрытию форм отчетности кредитных организаций, которое было приостановлено в 2022 году в связи с санкционными рисками. На сайте Банка России опубликованы данные оборотной ведомости (форма 101), расчет капитала (123) и обязательные нормативы (135) банков за май 2023 года.",27 июня 2023,Новость
759,Есть ли польза от публикации прогнозов ключевой ставки и как влияет на фондовый рынок запрет на короткие продажи: новый номер журнала «Деньги и кредит»,Вышел второй в 2023 году номер ежеквартального научного журнала Банка России «Деньги и кредит».,27 июня 2023,Новость
760,К юбилею Курчатовского института,Банк России 27 июня 2023 года выпускает в обращение памятную серебряную монету номиналом 3 рубля «80-летие национального исследовательского центра „Курчатовский институт“ и 120-летие со дня рождения академиков И.В. Курчатова и А.П. Александрова» (каталожный № 5111-0484).,27 июня 2023,Пресс-релиз
761,Инфляционные ожидания населения и ценовые ожидания предприятий снизились,В июне 2023 года инфляционные ожидания населения снизились до минимума с марта 2021 года.,26 июня 2023,Новость
762,"Режим работы финансового сектора в Москве в понедельник, 26 июня 2023 года","Банк России исходит из того, что кредитные и некредитные организации, а также и организации, оказывающие профессиональные услуги на финансовом рынке, находящиеся в Москве, обеспечивают непрерывность и бесперебойность работы финансового рынка для всей России.",25 июня 2023,Пресс-релиз
763,Банк России совершенствует работу по противодействию недобросовестным практикам на финансовом рынке,С 17 июля 2023 года Банк России консолидирует функционал по противодействию нелегальной деятельности и ограничению применения недобросовестных практик поведения в профильных департаментах. Такое решение принято Советом директоров Банка России.,23 июня 2023,Пресс-релиз
764,Банк России предлагает уточнить требования к стресс-тестированию НПФ,Изменения направлены на совершенствование оценки рисков при исполнении обязательств негосударственными пенсионными фондами (НПФ) перед своими клиентами. Это позволит лучше оценивать финансовую устойчивость таких институтов. Проект указания Банка России опубликован для общественного обсуждения.,23 июня 2023,Новость
765,Банк России повышает макропруденциальные требования по необеспеченным потребительским кредитам,Банк России повышает с 1 сентября 2023 года надбавки к коэффициентам риска по необеспеченным потребительским кредитам. Мера направлена на накопление макропруденциального запаса капитала и повышение устойчивости банков в случае роста потерь по потребительским кредитам.,23 июня 2023,Пресс-релиз
766,В мае сохранялся активный рост розничного кредитования,"Ипотечный портфель продолжил быстро расти (+2,2% за месяц), при этом опережающими темпами выдавалась ипотека с господдержкой. Потребительское кредитование ускорилось (+1,7%).",22 июня 2023,Новость
767,Опубликована программа Финансового конгресса Банка России,В этом году мероприятие пройдет 6–7 июля в Санкт-Петербурге. Деловой программой предусмотрена пленарная сессия с участием Председателя Банка России Эльвиры Набиуллиной.,21 июня 2023,Новость
768,Платежные агенты войдут в периметр регулирования Банка России,Платежные агенты будут работать по новым правилам: определен механизм их допуска на рынок и проведения надзора за оказанием ими услуг. Такой закон 21 июня приняла Государственная Дума.,21 июня 2023,Новость
769,Мониторинг предприятий: индикатор бизнес-климата повысился за счет улучшения оценок текущего состояния,"Индикатор бизнес-климата (ИБК) Банка России в июне вырос до 8,8 пункта и в целом сохранялся вблизи максимумов за последнее десятилетие.",21 июня 2023,Новость
770,"Годовая инфляция в мае оставалась низкой, но начала постепенно расти в большинстве регионов","Потребительская активность в мае восстанавливалась, предложение на рынках отдельных товаров и услуг оставалось ограниченным — и это способствовало росту цен.",19 июня 2023,Новость
771,Банк России установил факты манипулирования рынком при совершении сделок с инвестиционными паями,Установлены факты манипулирования рынком 25.10.2022 при совершении сделок с инвестиционными паями1 (далее — паи) на организованных торгах.,16 июня 2023,Пресс-релиз
772,"Годовая инфляция в мае составила 2,5%, месячный прирост цен умеренный","В мае годовая инфляция начала ускоряться и составила 2,5%. Месячные темпы роста цен с поправкой на сезонность незначительно увеличились, преимущественно из-за разовых факторов.",15 июня 2023,Новость
773,На товарном рынке появились индексы сахара и подсолнечного масла,"Методики расчета двух новых товарных индикаторов — регионального индекса сахара в Центральном федеральном округе и экспортного индекса подсолнечного масла — одобрены межведомственной рабочей группой. Индексы рассчитывает АО «Национальная товарная биржа» на основе информации о сделках, которую ей обязаны предоставлять участники рынка.",15 июня 2023,Новость
774,Банк России утвердил Основные направления развития информационной безопасности кредитно-финансовой сферы на 2023–2025 годы,"Стратегический документ, который утвержден Советом директоров Банка России, в значительной степени посвящен защите прав потребителей финансовых услуг и повышению уровня доверия к цифровым технологиям.",15 июня 2023,Новость
775,К 100-летию первой советской золотой монеты,"Банк России 15 июня 2023 года выпускает в обращение памятную золотую монету номиналом 50 рублей «100-летие золотого червонца» (каталожный
номер 5216-0126).",15 июня 2023,Пресс-релиз
776,Банк России улучшил прогнозы по банковскому сектору на фоне сильных результатов начала года,"В отсутствие новых шоков банковский сектор может заработать по итогам 2023 года свыше 2 трлн рублей, что больше предыдущих оценок (до 1,5 трлн рублей). Основные причины изменения прогноза — значительная маржа (годовой прогноз повышен до 4,3–4,5%) и высокие фактические показатели начала года (1,1 трлн рублей за четыре месяца), в том числе из-за валютной переоценки на фоне ослабления рубля.",13 июня 2023,Новость
777,Экспортеры нарастили в мае чистые продажи иностранной валюты,"Крупнейшие экспортеры в мае увеличили продажи иностранной валюты с 7 до 9,1 млрд долларов США. Граждане продолжили действовать контрциклически, то есть покупали иностранную валюту во время укрепления рубля и продавали в периоды ослабления.",13 июня 2023,Новость
778,Банк России вводит стимулирующее банковское регулирование для проектов технологического суверенитета и структурной адаптации экономики,Регулятор внедрил специальные меры по поддержке кредитования проектов технологического суверенитета и структурной адаптации экономики.,13 июня 2023,Новость
779,Механизм поддержки кредитования субъектов МСП дополнен кредитами под залог ОФЗ,"Банк России дополнил механизм предоставления ликвидности для поддержки кредитования субъектов малого и среднего предпринимательства кредитами под залог облигаций федерального займа (ОФЗ). Ранее в механизме были задействованы только кредиты, обеспеченные поручительством АО «Корпорация «МСП».",13 июня 2023,Пресс-релиз
780,"Банк России опубликовал список кредитных кооперативов, которые могут работать с материнским капиталом",Публикация перечня позволит дополнительно защитить граждан от недобросовестных практик при покупке жилья с использованием материнского (семейного) капитала и предотвратить неправомерное использование государственных средств.,13 июня 2023,Новость
781,Оперативные индикаторы в мае указывали на некоторое смягчение денежно-кредитных условий,"Ставки денежного рынка почти не изменились, отражая сохранение ожиданий участников рынка относительно возможного ужесточения денежно-кредитной политики во второй половине года. При этом инфляционные ожидания населения возросли, а ценовые ожидания предприятий немного снизились, хотя в отдельных отраслях продолжилось их повышение.",09 июня 2023,Новость
782,Мониторинг отраслевых финансовых потоков: ускорение роста поступлений в мае,Динамика финансовых потоков указывает на расширение экономической активности.,09 июня 2023,Новость
783,"Банк России принял решение сохранить ключевую ставку на уровне 7,50% годовых", ,09 июня 2023,Пресс-релиз
784,Информация о работе платежной системы Банка России 10 и 12 июня 2023 года,Платежная система Банка России 10 и 12 июня 2023 года будет функционировать в соответствии с графиком.,09 июня 2023,Пресс-релиз
785,Страховой рынок возобновил рост в I квартале,"В I квартале 2023 года объем страховых премий составил 548,4 млрд рублей, что на 21,2% больше, чем годом ранее.",07 июня 2023,Новость
786,9 июня в 15:00 состоится пресс-конференция по итогам заседания Совета директоров по денежно-кредитной политике,В мероприятии примут участие Председатель Банка России Эльвира Набиуллина и заместитель Председателя Банка России Алексей Заботкин.,06 июня 2023,Новость
787,Банк России оценил убыточность ОСАГО для легковых такси,"Совокупные страховые выплаты по ОСАГО для легковых такси на протяжении четырех лет, с 2018 по 2021 год, стабильно превышают объем уплаченных взносов. Это связано с высокой аварийностью данного транспорта: таксисты становятся виновниками аварий в семь раз чаще, чем обычные водители легковых автомобилей, подсчитал Банк России.",05 июня 2023,Новость
788,Кирилл Пронин возглавит Департамент инфраструктуры финансового рынка,Приказом Председателя Банка России с 5 июня 2023 года Кирилл Пронин назначен директором Департамента инфраструктуры финансового рынка.,02 июня 2023,Пресс-релиз
789,Розничные инвесторы нарастили активы на брокерских счетах,"В I квартале 2023 года число клиентов на брокерском обслуживании выросло на 6%, до 24,5 млн человек, а средний размер счета — без учета пустых и с небольшими суммами — увеличился до 1,4 млн рублей. Об этом свидетельствуют данные «Обзора ключевых показателей профессиональных участников рынка ценных бумаг».",02 июня 2023,Новость
790,Банки с базовой лицензией: диалог с регулятором,Председатель Банка России Эльвира Набиуллина при участии Ассоциации банков России провела встречу с представителями банков с базовой лицензией (ББЛ).,02 июня 2023,Новость
791,Банк России установил факты манипулирования рынком при совершении сделок с фьючерсными контрактами,Установлены факты манипулирования рынком в период с 22.04.2022 по 11.05.2022 при совершении сделок с фьючерсными контрактами1 (далее — фьючерсы) на организованных торгах.,01 июня 2023,Пресс-релиз
792,"Частичное продление мер Банка России на страховом рынке, срок действия которых истекает до 1 июля 2023 года","В отношении установленных решением Совета директоров Банка России от 23 декабря 2022 года «О временных требованиях к деятельности страховых организаций и обществ взаимного страхования» стабилизационных мер, срок действия которых истекает до 1 июля 2023 года, сообщаем следующее:",01 июня 2023,Пресс-релиз
793,Банк России отменяет послабление для СРО в сфере микрофинансирования,"Банк России не будет продлевать с 2 июля 2023 года послабление, которое предусматривает неприменение мер за нарушение требований об обязательной проверке членов саморегулируемых организаций (СРО), объединяющих микрофинансовые организации, кредитные потребительские кооперативы и сельскохозяйственные кредитные потребительские кооперативы.",01 июня 2023,Пресс-релиз
794,Мир Ромашковой долины,Банк России 1 июня 2023 года выпускает в обращение памятные монеты «Смешарики» серии «Российская (советская) мультипликация»:,01 июня 2023,Пресс-релиз
795,Данные Банка России о точках доступа к финансовым услугам появились в «Яндекс.Картах»,"Теперь пользователи могут видеть в «Яндекс.Картах» наиболее полные официальные данные регулятора по всем стационарным и мобильным офисам банков, отделениям почтовой связи с точками банковского обслуживания, офисам страховых компаний, МФО, НПФ и других финансовых организаций.",01 июня 2023,Новость
796,Доклад «Региональная экономика»: восстановление потребительского спроса продолжается,"В апреле — мае 2023 года потребительская активность населения продолжала восстанавливаться во всех макрорегионах. Ожидания предприятий розничной торговли и сферы услуг относительно спроса были преимущественно позитивными. Месячные темпы роста потребительских цен несколько ускорились, но инфляционное давление в целом оставалось умеренным.",31 мая 2023,Новость
797,НПФ нарастили вложения в государственные облигации,"Доля ОФЗ в портфеле пенсионных накоплений негосударственных пенсионных фондов (НПФ) за I квартал 2023 года выросла на 0,7 п.п., до 37,6%, а в пенсионных резервах — на 1,3 п.п., до 22%. При этом сократились вложения в корпоративные облигации: в сравнении с госбумагами они стали менее привлекательными по соотношению риск/доходность.",31 мая 2023,Новость
798,О чем говорят тренды: постепенное усиление инфляционного давления,"Результаты опросов и динамика различных оперативных индикаторов говорят о том, что рост российской экономики в II квартале продолжается благодаря расширению потребительской и инвестиционной активности, а также на фоне высокого спроса со стороны государства.",30 мая 2023,Новость
799,Банк России рекомендовал сообщать клиентам об особенностях «зеленых» бумаг и продуктов,"Банкам, управляющим компаниям, негосударственным пенсионным фондам, страховщикам при продаже продуктов устойчивого развития рекомендуется доводить до клиентов информацию об их особенностях, возможностях и рисках. Это позволит повысить осведомленность инвесторов и предотвратить распространение обычных финансовых инструментов под видом «зеленых». Соответствующее информационное письмо опубликовано на сайте Банка России.",29 мая 2023,Новость
800,Банк России упрощает взаимодействие финансовых организаций с иностранными клиентами,"Финансовые организации смогут заключать договоры с банками-нерезидентами без легализации иностранных официальных документов, подтверждающих их статус. Такое указание Банка России зарегистрировал Минюст России.",26 мая 2023,Новость
801,Экономика и финансовая система продолжают адаптироваться к санкциям,"Ситуация в российской экономике улучшается, однако ряд уязвимостей в нефинансовом и финансовом секторах требует внимания.",26 мая 2023,Новость
802,"Банк России переутвердил надбавки к коэффициентам риска, оставив их без изменений","Совет директоров принял такое решение в связи с тем, что с 1 июня 2023 года вступают в силу новый порядок применения надбавок к коэффициентам риска и новые требования к расчету показателя долговой нагрузки (ПДН). Действующий порядок, соответственно, будет отменен.",26 мая 2023,Новость
803,Информация о прекращении действия меры поддержки субъектов национальной платежной системы,"Банк России не будет продлевать с 1 июля 2023 года послабление в отношении субъектов национальной платежной системы (НПС), которое предусматривает неприменение мер за нарушение требований по регистрации оператора платежной системы в случае достижения кредитными организациями установленного законом критерия1. Мера поддержки прекратит свое действие в связи со стабилизацией объемов переводов денежных средств, совершаемых между кредитными организациями, а также исходя из анализа текущих показателей деятельности субъектов НПС.",26 мая 2023,Пресс-релиз
