,title,date,full_text
578,Биржевые цены на газ в Европе упали до самого низкого уровня за месяц,2023-07-12,"Биржевые цены на газ в Европе упали до самого низкого уровня за месяц Газ в Европе подешевел до самого низкого уровня за месяц на фоне ожиданий возобновления работы крупного газового месторождения Норвегии Troll, высоких запасов в европейских ПХГ и низкого спроса со стороны промышленности"
579,«Цифра брокер» предусмотрел возможность вынужденной конвертации валюты,2023-07-13,"«Цифра брокер» предусмотрел возможность вынужденной конвертации валюты Брокер расширил список ситуаций, когда он может совершать сделки по счетам клиента без его согласия. Если это произойдет, то затронет остатки не более €100, а также остатки в валюте, которая не торгуется на Мосбирже"
580,Американский банк согласился на предложение «Магнита» по продаже акций,2023-07-13,"Американский банк согласился на предложение «Магнита» по продаже акций «Магнит» в рамках выкупа своих акций у иностранных держателей сделал предложение как прямым владельцам, так и JPMorgan Chase Bank N.A. — депозитарию расписок ретейлера. JPMorgan согласился и объявил об этом клиентам"
581,«Цифра брокер» восстановил доступ к бумагам Гонконга для новичков рынка,2023-07-14,"«Цифра брокер» восстановил доступ к бумагам Гонконга для новичков рынка Ранее ЦБ обязал брокеров предупреждать клиентов о рисках покупки бумаг дружественных стран, если они хранятся в недружественной инфраструктуре. Некоторые компании сочли донастройку систем сложной и вовсе отключили доступ"
582,"Ставки по вкладам в юанях, долларах и евро растут: причины и риски",2023-07-15,"Ставки по вкладам в юанях, долларах и евро растут: причины и риски Несмотря на тренд девалютизации, ряд банков предлагает повышенные ставки по валютным депозитам, причем даже в токсичных валютах. Эксперты рассказали «РБК Инвестициям», чем это вызвано и как долго продлится"
583,При миротворчестве главное — не рассориться,2023-07-16,При миротворчестве главное — не рассориться Борьба за посредничество между Арменией и Азербайджаном продолжает обостряться
584,В «БКС Мир инвестиций» назвали самые перспективные в 3-м квартале валюты,2023-07-17,"В «БКС Мир инвестиций» назвали самые перспективные в 3-м квартале валюты Аналитики «БКС Мир инвестиций» оценили перспективы роста основных валют на третий квартал и ближайшие 12 месяцев. Эксперты выбрали фаворитов среди валютных пар с большим потенциалом, а также назвали основного аутсайдера"
585,СПБ Биржа вслед за Московской введет режим T+1 с 31 июля,2023-07-18,СПБ Биржа вслед за Московской введет режим T+1 с 31 июля Сейчас расчеты по российским и квазироссийским ценным бумагам на СПБ Бирже проводятся на второй расчетный день с даты заключения сделки. По международным ценным бумагам иностранных эмитентов код расчетов не изменится
586,Credit Suisse спрогнозировал рост S&P 500 до 4700 пунктов к концу года,2023-07-19,"Credit Suisse спрогнозировал рост S&P 500 до 4700 пунктов к концу года Краткосрочный риск рецессии в США снизился, а прогнозы по выручке крупнейших технологических компаний оказались выше прежних. Аналитики Credit Suisse ожидают, что рост рынка акций продолжится до конца года"
587,Газпромбанк назвал фаворитов на рынке России после возвращения отчетности,2023-07-20,"Газпромбанк назвал фаворитов на рынке России после возвращения отчетности Большинство компаний вернутся к публикации отчетности как минимум в сокращенном варианте, считают в Газпромбанке. Эксперты выбрали наиболее перспективные компании, чьи акции могут вырасти после возобновления раскрытия"
588,"Заседание ЦБ, санкции против Тинькофф Банка, индекс Мосбиржи: дайджест",2023-07-21,"Заседание ЦБ, санкции против Тинькофф Банка, индекс Мосбиржи: дайджест Банк России примет решение по ключевой ставке. Эксперты ожидают повышения на 50 б.п. США включили Тинькофф Банк в SDN лист, акции TCS Group упали. Российский рынок продолжает корректироваться. События, влияющие на рынок"
589,«Полиметалл» сообщил о планах завершить «переезд» в Казахстан 7 августа,2023-07-21,"«Полиметалл» сообщил о планах завершить «переезд» в Казахстан 7 августа «Полиметалл» перенес дату перерегистрации в Казахстан на 7 августа. Ранее компания сообщала, что редомициляция завершится не раньше недели, начинающейся 31 июля. Основной листинг компании переместится на биржу в Астане"
590,Курс доллара в августе 2023 года: почему это опасный месяц для рубля,2023-07-22,"Курс доллара в августе 2023 года: почему это опасный месяц для рубля Исторически август был не лучшим месяцем для рубля на фоне геополитических потрясений, выплаты дивидендов и сезона отпусков. «РБК Инвестиции» собрали прогнозы аналитиков по курсу доллара к рублю в августе 2023 года"
591,Как взыскать убытки с Euroclear в суде: возможности и нюансы,2023-07-23,"Как взыскать убытки с Euroclear в суде: возможности и нюансы У российских инвесторов появились новые возможности разблокировки активов. Партнеры юрфирмы BGP Litigation Владимир Ефремов и Сергей Гландин рассказали, реально ли взыскать убытки с Euroclear через суды в России"
592,Уральский банк реконструкции и развития подал иск к Euroclear,2023-07-24,"Уральский банк реконструкции и развития подал иск к Euroclear Новый иск к Euroclear подал Уральский банк реконструкции и развития, сумма претензий не раскрывается. В настоящий момент российские суды ведут шесть дел в отношении депозитария — все они связаны с разблокировкой активов"
593,Эксперты «Синары» увидели риски для рынка в принудительной редомициляции,2023-07-25,"Эксперты «Синары» увидели риски для рынка в принудительной редомициляции Принудительная редомициляция компаний, имеющих «прописку» за границей, усилит спрос на арбитраж между площадками. Инвесторы захотят купить бумаги с дисконтом за границей, а потом продать на Мосбирже по рыночной цене"
594,Ставка в США на пике с 2001 г. Хватит ли этого для победы над инфляцией?,2023-07-26,"Ставка в США на пике с 2001 г. Хватит ли этого для победы над инфляцией? ФРС повысила ставку на 25 б.п. — до 5,25-5,5%. «РБК Инвестиции» спросили у экспертов, что регулятор будет делать дальше, можно ли говорить о победе над инфляцией и продолжится ли рост индекса S&P 500"
595,Эмитенты евробондов смогут избежать замещения на основе двух критериев,2023-07-27,"Эмитенты евробондов смогут избежать замещения на основе двух критериев До 1 января 2024 года, согласно указу президента, российские эмитенты должны заместить евробонды, по которым у них не исполнены обязательства. Минфин сформулировал условия, при которых этой обязанности можно избежать"
596,"Игроки разогнали акции Globaltruck на 100%, возможно, перепутав название",2023-07-28,"Игроки разогнали акции Globaltruck на 100%, возможно, перепутав название Акции автомобильного грузоперевозчика Globaltruck аномально взлетели более чем на 100%. Веских причин для роста нет, поэтому инвесторы могли попросту перепутать Globaltruck с другой транспортной компанией — Globaltrans"
597,Индекс Мосбиржи выше 3000 пунктов. Откатится он назад или продолжит рост,2023-07-29,"Индекс Мосбиржи выше 3000 пунктов. Откатится он назад или продолжит рост 28 июля впервые с февраля 2022 года индекс Мосбиржи превысил 3000 пунктов. Это произошло на фоне роста нефтяных цен и реинвестирования дивидендов. «РБК Инвестиции» разбирались, что будет дальше с российскими акциями"
598,Банки соревнуются за вкладчика: топ-15 ставок по депозитам,2023-07-30,"Банки соревнуются за вкладчика: топ-15 ставок по депозитам Решение ЦБ повысить ставку до 8,5% транслируется в доходность по вкладам. Какие максимальные ставки по депозитам предлагают банки и при каких условиях — в подборке «РБК Инвестиций»"
599,Путин подписал пакет изменений в законодательство о налогах инвесторов,2023-07-31,"Путин подписал пакет изменений в законодательство о налогах инвесторов Путин обязал брокеров «справедливо» удерживать НДФЛ с купона, сохранить льготу долгосрочного владения для владельцев конвертированных в акции депозитарных расписок. Закон закрепляет еще ряд изменений для инвесторов"
600,«ВТБ Мои Инвестиции» назвали лучшие облигации после повышения ставки ЦБ,2023-08-01,"«ВТБ Мои Инвестиции» назвали лучшие облигации после повышения ставки ЦБ «ВТБ Мои Инвестиции» выбрали наиболее привлекательные для инвесторов облигации российских компаний и ОФЗ с лучшим соотношением риска и доходности. Аналитики подобрали бумаги с доходностью до 13,1% годовых в рублях"
601,«Тинькофф Инвестиции» будет по-новому удерживать НДФЛ с купонов по бондам,2023-08-01,"«Тинькофф Инвестиции» будет по-новому удерживать НДФЛ с купонов по бондам Налог с купонов по облигациям будет удерживаться при выводе средств со счета или в конце года, а не в момент поступления купона на счет. Ранее аналогичное решение приняли «Сбер», ВТБ, «Финам», «Альфа-Инвестиции»"
602,"Индекс Мосбиржи, отчет «Норникеля» и снижение рейтинга США: дайджест",2023-08-02,"Индекс Мосбиржи, отчет «Норникеля» и снижение рейтинга США: дайджест Индекс Мосбиржи превысил 3100 пунктов, но к закрытию откатился ниже этого уровня. «Норникель» опубликует отчет по МСФО за первое полугодие. Fitch снизило кредитный рейтинг США. События, которые влияют на рынок"
603,«Сбер» отчитался за полугодие. Какие дивиденды он может выплатить за год,2023-08-03,"«Сбер» отчитался за полугодие. Какие дивиденды он может выплатить за год В преддверие выхода отчета акции вернулись к уровням середины февраля 2022 года. «РБК Инвестиции» узнали, что эксперты думают об отчете, сколько дивидендов «Сбер» может выплатить за год и что будет с акциями банка дальше"
604,"Индекс Мосбиржи, цены на нефть, отчетность Apple: дайджест инвестора",2023-08-04,"Индекс Мосбиржи, цены на нефть, отчетность Apple: дайджест инвестора Индекс Мосбиржи превысил 3150 пунктов. Цены на Brent прибавили более 2% на новости о продлении добровольного сокращения добычи Саудовской Аравией. Акции Apple снизились на фоне отчета. События, которые влияют на рынок"
605,"Глава биржи СПбМТСБ — о дорогом бензине, терминале данных и возможном IPO",2023-08-05,"Глава биржи СПбМТСБ — о дорогом бензине, терминале данных и возможном IPO Президент Санкт-Петербургской международной товарно-сырьевой биржи рассказал в интервью «РБК Инвестициям» о сроках запуска нового терминала сырьевых котировок, а также перспективах индекса нефти Urals и планах биржи"
606,Ставки по кредитам пока не повысили: минимальные ставки в топ-20 банков,2023-08-06,Ставки по кредитам пока не повысили: минимальные ставки в топ-20 банков Средняя стоимость кредитов в топ-20 российских банков практически не меняется с начала лета. Но ставки росли раньше и значительно превышают ключевую ставку. Честные ставки по кредитам — в обзоре «РБК Инвестиций»
607,"Индекс Мосбиржи, укрепление рубля, цены на нефть и пшеницу: дайджест",2023-08-07,"Индекс Мосбиржи, укрепление рубля, цены на нефть и пшеницу: дайджест Индекс Мосбиржи закрылся ниже 3100 пунктов. Рубль перешел к росту после падения прошлой недели. Цены на нефть и пшеницу выросли после атаки Украины на российское судно. События, которые влияют на рынок"
608,"Волатильность российского рынка акций, разворот рубля: дайджест инвестора",2023-08-08,"Волатильность российского рынка акций, разворот рубля: дайджест инвестора Индекс Мосбиржи попытался отскочить вверх после пятничного обвала. Попытка не удалась, рынок закрылся в минусе. Доллар превысил ₽97, но не смог удержаться, рубль завершил торги ростом. События, которые влияют на рынок"
609,"Отскок индекса Мосбиржи, аномальный курс рубля: дайджест инвестора",2023-08-09,"Отскок индекса Мосбиржи, аномальный курс рубля: дайджест инвестора Индекс Мосбиржи закрыл вторник ростом после двух дней снижения, получив поддержку от слабого рубля. Эксперты отмечают аномальность текущего курса рубля, но ожидают дальнейшего ослабления. События, которые влияют на рынок"
610,НАУФОР заявила о неактуальности требований к квалифицированным инвесторам,2023-08-10,"НАУФОР заявила о неактуальности требований к квалифицированным инвесторам Организация выразила обеспокоенность в связи с изменением критериев Банка России для определения квалификации инвесторов. В НАУФОР заявили, что реформа не учитывает потребности клиентов и состояние финансового рынка"
611,«Газпромбанк Инвестиции» начнет перечислять купоны без удержания налога,2023-08-11,"«Газпромбанк Инвестиции» начнет перечислять купоны без удержания налога Налог с купонов по облигациям будет удерживаться при выводе средств со счета или в конце года, а не в момент поступления купона на счет. Ранее аналогичное решение приняли «Сбер», ВТБ, «Финам», «Альфа-Инвестиции»"
612,Юань или доллар: в какой валюте инвесторам переждать падение рубля,2023-08-12,"Юань или доллар: в какой валюте инвесторам переждать падение рубля Аналитик «БКС Мир инвестиций» Игорь Герасимов проанализировал валютный рынок США и Китая и выяснил, в какой валюте инвесторам выгоднее спасать свои инвестиции от девальвации рубля"
613,Исламский банкинг в России: в чем суть партнерского финансирования,2023-08-13,"Исламский банкинг в России: в чем суть партнерского финансирования Исламский банкинг получит дополнительное развитие с сентября 2023 года на территории Дагестана, Чеченской Республики, Башкортостана и Татарстана. «РБК Инвестиции» собрали гайд по принципам и инструментам"
614,"Ослабление рубля, дивиденды «Татнефти» и «Белуга Групп», Китай: дайджест",2023-08-14,"Ослабление рубля, дивиденды «Татнефти» и «Белуга Групп», Китай: дайджест Доллар превысил ₽100. «Татнефть» и «Белуга Групп» примут решение по дивидендам за первое полугодие. Проблемы китайского девелопера Country Garden ударили по рынку акций КНР. События, которые влияют на рынок"
615,Акции Freedom Holding упали после выхода расследования аналитиков из США,2023-08-15,"Акции Freedom Holding упали после выхода расследования аналитиков из США Аналитики Hindenburg Research, известные разоблачениями Nikola и Карла Айкана, опубликовали обзор, посвященный компании Freedom Holding Тимура Турлова. После этого бумаги брокера, обращающиеся в США, упали почти на 7%"
616,«Цифра брокер» предусмотрел возможность вынужденной конвертации долларов,2023-08-16,"«Цифра брокер» предусмотрел возможность вынужденной конвертации долларов Ранее «Цифра брокер» уже провел принудительную конвертацию. Но тогда она коснулась остатков в евро, не превышающих €100. Сейчас брокер прописал в договоре, что имеет аналогичное право в отношении долларовых счетов до $10"
617,Что такое кредитная карта и как она работает,2023-08-17,"Что такое кредитная карта и как она работает Преимущество кредитной карты — возможность какое-то время беспроцентно пользоваться деньгами и получать доходность. Какие есть еще плюсы и минусы, рассказал начальник центра кредитных продуктов банка «Зенит» Вадим Зайцев"
618,"Рубль, индекс Мосбиржи, банк «Санкт-Петербург» и Evergrande: дайджест",2023-08-18,"Рубль, индекс Мосбиржи, банк «Санкт-Петербург» и Evergrande: дайджест Доллар продолжил падать. Индекс Мосбиржи закрылся в плюсе после трех дней падения. Банк «Санкт-Петербург» может объявить о дивидендах. Evergrande подала в США заявление о банкротстве. События, которые влияют на рынок"
619,"Скоро 1 сентября. Эксперты рассказали, как накопить капитал для ребенка",2023-08-19,"Скоро 1 сентября. Эксперты рассказали, как накопить капитал для ребенка Простая математика сложных процентов — залог успеха любого долгосрочного портфеля. Эксперты по инвестициям рассказали, когда начинать собирать детский портфель в школу жизни и зачем"
620,"Картины, часы и книги. Как заработать на рынке альтернативных инвестиций",2023-08-20,"Картины, часы и книги. Как заработать на рынке альтернативных инвестиций Руководитель направления по работе с частными клиентами по программе «Управляемый капитал» «СберСтрахования жизни» Виталий Тузов рассказал о том, какие виды альтернативных инвестиций стоит выбирать и почему"
621,"Акции «Группы Позитив», дивиденды АЛРОСА и решение ЦБ Китая: дайджест",2023-08-21,"Акции «Группы Позитив», дивиденды АЛРОСА и решение ЦБ Китая: дайджест Акции «Группы Позитив» обновили исторический максимум на сделке с «Ростехом». Акции АЛРОСА выросли после анонса заседания по дивидендам. Решение ЦБ Китая по ставке не совпало с прогнозом. События, которые влияют на рынок"
622,«Русагро» допустила выплату пропущенных дивидендов в случае редомициляции,2023-08-21,"«Русагро» допустила выплату пропущенных дивидендов в случае редомициляции Головная структура группы «Русагро» — Ros Agro — зарегистрирована на Кипре. Это затрудняет выплату дивидендов российским держателям. «Переезд» в дружественную юрисдикцию поможет решить этот вопрос, считают в компании"
623,"Рост курса доллара, отчет МТС, нарушения «Мосэнерго» и ОГК-2: дайджест",2023-08-22,"Рост курса доллара, отчет МТС, нарушения «Мосэнерго» и ОГК-2: дайджест Курс доллара утром вновь растет, но эксперты ждут укрепления рубля. МТС представит финансовый отчет за квартал. Мосбиржа нашла нарушения в корпоративном управлении ОГК-2 и «Мосэнерго». События, которые влияют на рынок"
624,Чистая прибыль Мосбиржи выросла почти на 50% во втором квартале 2023 года,2023-08-23,"Чистая прибыль Мосбиржи выросла почти на 50% во втором квартале 2023 года Столь резкий скачок может быть связан с низкой базой второго квартала 2022 года, когда на Мосбирже несколько недель не было торгов. Темпы роста скорректированной чистой прибыли оказались существенно ниже — чуть более 6%"
625,На Уолл-стрит заявили об окончании «золотого века инвестирования»,2023-08-24,"На Уолл-стрит заявили об окончании «золотого века инвестирования» Почетный председатель Evercore ISI Ральф Шлосштейн считает, что в ближайшие несколько десятилетий основным способом получения прибыли будут акции. Однако, по его словам, получить прибыль на рынке будет намного сложнее"
626,Выступление главы ФРС в Джексон-Хоуле и дивиденды НОВАТЭКа: дайджест,2023-08-25,"Выступление главы ФРС в Джексон-Хоуле и дивиденды НОВАТЭКа: дайджест Совет директоров НОВАТЭКа обсудит выплату дивидендов за первое полугодие. Глава ФРС США Джером Пауэлл выступит на симпозиуме в Джексон-Хоуле, рынок будет искать сигналы по будущей ДКП. События, которые влияют на рынок"
627,Ключевая ставка 12%. Названы 3 акции с доходностью по дивидендам еще выше,2023-08-26,"Ключевая ставка 12%. Названы 3 акции с доходностью по дивидендам еще выше Рост ключевой ставки снижает привлекательность акций относительно растущей доходности инструментов долгового рынка. «РБК Инвестиции» выяснили у экспертов, какие акции покажут наибольшую дивидендную доходность"
628,Курс доллара удалось сбить ниже ₽100: что будет с рублем в сентябре,2023-08-27,"Курс доллара удалось сбить ниже ₽100: что будет с рублем в сентябре Курс доллара стабилизировался после резкого повышения ставки ЦБ до 12%, однако меры валютного контроля так и не были приняты. «РБК Инвестиции» выяснили, что будет со ставкой и сможет ли монетарная политика помочь рублю"
629,"Отчет Whoosh, дивиденды АЛРОСА, режим торгов на СПБ Бирже: дайджест",2023-08-28,"Отчет Whoosh, дивиденды АЛРОСА, режим торгов на СПБ Бирже: дайджест Whoosh представит финансовые результаты за первое полугодие. АЛРОСА может опубликовать рекомендацию совета директоров по дивидендам. СПБ Биржа увеличит время торгов гонконгскими акциями. События, которые влияют на рынок"
630,"Индекс Мосбиржи выше 3200 пунктов, отчеты TCS Group и «Полюса»: дайджест",2023-08-29,"Индекс Мосбиржи выше 3200 пунктов, отчеты TCS Group и «Полюса»: дайджест Индекс Мосбиржи впервые с середины августа поднялся выше 3200 пунктов. «Полюс» представит операционные и финансовые результаты за полугодие. TCS Group опубликует отчет по МСФО за квартал. События, которые влияют на рынок"
631,Акции «Магнита» останутся в базе расчетов индексов Мосбиржи и РТС,2023-08-30,"Акции «Магнита» останутся в базе расчетов индексов Мосбиржи и РТС Но акции по-прежнему будут и в листе ожидания на исключение из индексов. С 22 сентября в состав индекса Мосбиржи и индекса РТС войдут бумаги «Группы Позитив», QIWI, «Юнипро» и «Селигдара», а ГДР Fix Price будут исключены"
632,Российский инвестор вывел из Euroclear разблокированные активы на $2 млн,2023-08-30,"Российский инвестор вывел из Euroclear разблокированные активы на $2 млн Юридическая фирма NSP сообщила о том, что один из ее клиентов совершил перевод активов из российского депозитария в европейский. Этот перевод стал возможным благодаря ранее полученному разрешению от регуляторов ЕС"
633,Бумаги «Мать и дитя» прибавили 5% на решении акционеров о «переезде» в РФ,2023-08-31,"Бумаги «Мать и дитя» прибавили 5% на решении акционеров о «переезде» в РФ На внеочередном собрании акционеры компании MD Medical, управляющей сетью клиник «Мать и дитя», одобрили редомициляцию с Кипра в специальный административный район (САР) острова Октябрьский в Калининградской области"
634,«Цифра брокер» принудительно сконвертировал остатки в долларах до $10,2023-09-01,"«Цифра брокер» принудительно сконвертировал остатки в долларах до $10 В конце июля «Цифра брокер» уже провел принудительную конвертацию — тогда она коснулась остатков в евро, не превышающих €100. Позднее брокер предусмотрел такую же возможность в отношении долларовых счетов до $10"
635,Как устроены «детские» инвестиции в России: риски и возможности,2023-09-02,"Как устроены «детские» инвестиции в России: риски и возможности В России подростки старше 14 лет имеют право самостоятельно инвестировать средства на фондовом рынке, однако законодательная защита их интересов создает сложности как для родителей, так и для профучастников"
636,"В России отчитались голубые фишки. 5 акций, чтобы купить прямо сейчас",2023-09-03,"В России отчитались голубые фишки. 5 акций, чтобы купить прямо сейчас Ведущие российские компании впервые за долгое время раскрыли свои финансовые результаты. Эксперты назвали «РБК Инвестициям» топ-5 самых интересных акций, которые на горизонте 6–12 месяцев могут показать хороший рост"
637,«ВТБ Мои Инвестиции» добавили Мосбиржу и «Группу Позитив» в топ-10 акций,2023-09-04,«ВТБ Мои Инвестиции» добавили Мосбиржу и «Группу Позитив» в топ-10 акций Аналитики брокера «ВТБ Мои Инвестиции» представили обновленный список акций-фаворитов на российском рынке. Эксперты исключили из топ-10 акций бумаги Сбербанка и Whoosh и добавили новые перспективные российские акции
638,Gunvor предупредил об угрозе обвала цен на нефть до $71–72 за баррель,2023-09-05,"Gunvor предупредил об угрозе обвала цен на нефть до $71–72 за баррель Цена на нефть марки Brent может упасть до $71–72 за баррель в ближайшие полгода, предупредил эксперт международного нефтяного трейдера Gunvor. Причиной может стать сокращение спроса из-за рецессии в крупнейших экономиках"
639,Опрос РБК: куда инвесторы вкладывали деньги и кому удалось заработать,2023-09-06,"Опрос РБК: куда инвесторы вкладывали деньги и кому удалось заработать Более половины инвесторов пострадали от заморозки иностранных бумаг, но закончили 2022 год с убытками лишь 27%, показал опрос РБК. Куда они вкладывают деньги и верят ли в новые госпрограммы — в материале «РБК Инвестиций»"
640,УК «Альфа-Капитал» получила отказ в разблокировке активов в Euroclear,2023-09-07,"УК «Альфа-Капитал» получила отказ в разблокировке активов в Euroclear Управляющая компания заявила, что при поддержке внешних консультантов сейчас оспаривает действия Казначейства Бельгии. УК обратилась в ведомство для пересмотра этого решения, а также подала жалобу в вышестоящий орган"
641,ВТБ определился со сроками перевода клиентов из «Открытие Брокера»,2023-09-08,"ВТБ определился со сроками перевода клиентов из «Открытие Брокера» Перевод портфелей пройдет бесшовно внутри российской депозитарной инфраструктуры. Ранее глава ВТБ говорил «РБК Инвестициям» о готовящемся слиянии брокеров, которое пройдет в рамках объединения финансовых групп"
642,Ипотека резко подорожала: топ-5 самых низких ставок по кредитам на жилье,2023-09-09,"Ипотека резко подорожала: топ-5 самых низких ставок по кредитам на жилье Ключевая ставка растет, в ЦБ видят угрозы для рынка ипотеки, а банки наращивают объемы жилищного кредитования, одновременно заметно повышая ставки. Где самые выгодные процентные ставки по рыночным ипотечным программам?"
643,"До 12,5% годовых: топ-10 накопительных счетов без дополнительных условий",2023-09-10,"До 12,5% годовых: топ-10 накопительных счетов без дополнительных условий В ожидании следующего решения Банка России по ключевой ставке некоторым инвесторам потребовалось временно «припарковать» средства на ликвидных счетах. Лучшие ставки по накопительным счетам — в подборке «РБК Инвестиций»"
644,Костин заявил о высокой вероятности отказа ВТБ от дивидендов за 2023 год,2023-09-11,"Костин заявил о высокой вероятности отказа ВТБ от дивидендов за 2023 год Глава ВТБ Андрей Костин предупредил, что дивидендов за 2023 год, несмотря на прогнозы рекордной прибыли, скорее всего, не будет. Банку в течение пяти лет потребуются вливания в капитал на уровне ₽1 трлн, указал он"
645,"Коррекция на рынке акций, укрепление рубля и обвал расписок VK: дайджест",2023-09-12,"Коррекция на рынке акций, укрепление рубля и обвал расписок VK: дайджест Российский рынок акций корректируется пятый день подряд. Рубль продолжает укрепляться, утром курс доллара потерял около ₽2. Расписки VK упали после сообщения о скорой приостановке торгов. События, которые влияют на рынок"
646,Сбой на Мосбирже привел к убыткам. Смогут ли инвесторы возместить потери,2023-09-13,"Сбой на Мосбирже привел к убыткам. Смогут ли инвесторы возместить потери Утром 13 сентября в срочной секции Мосбиржи произошел крупнейший сбой, из-за которого торги не проходили 4 часа. Помимо остановки торгов, площадка была вынуждена отменить сделки, что привело к убыткам частных инвесторов"
